Convenio,Rut Proveedor,Nombre Proveedor,Rut Organismo,Institución,Unidad de compra,Región Unidad,Comuna Unidad,Id,Producto,TipoProducto,Modelo,Marca,Región Medida,Region,Monto Transado,Numero OC,Precio Promedio,Cantidad,Fecha Ultima Venta
ASEO,76123456-7,PRISA S.A.,60123789-0,SENADO DE LA REPUBLICA,OFICINA DE COMPRAS,METROPOLITANA,SANTIAGO,PROD001,PAPEL HIGIÉNICO HOJA DOBLE 80 MTS,PAPEL HIGIÉNICO,HOJA DOBLE 80 MTS,ÉLITE,METROPOLITANA DE SANTIAGO,RM,48000,OC-2024-001,2400,20,15-03-2024
ASEO,76123456-7,PRISA S.A.,60123789-0,SENADO DE LA REPUBLICA,OFICINA DE COMPRAS,METROPOLITANA,SANTIAGO,PROD002,TOALLA PAPEL BLANCA ROLLO 80 MTS,TOALLA DE PAPEL,ROLLO 80 MTS,NOVA,METROPOLITANA DE SANTIAGO,RM,35000,OC-2024-001,1750,20,15-03-2024
ASEO,76123456-7,PRISA S.A.,60123789-0,SENADO DE LA REPUBLICA,OFICINA DE COMPRAS,METROPOLITANA,SANTIAGO,PROD003,SERVILLETA BLANCA 30X30 CM,SERVILLETAS,30X30 CM,ÉLITE,METROPOLITANA DE SANTIAGO,RM,12000,OC-2024-002,600,20,20-03-2024
ASEO,87654321-8,DIMERC S.A.,60123789-0,SENADO DE LA REPUBLICA,SERVICIOS GENERALES,METROPOLITANA,SANTIAGO,PROD004,JABÓN LÍQUIDO ANTIBACTERIAL 5 LTS,JABÓN LÍQUIDO,5 LITROS,QUIX,METROPOLITANA DE SANTIAGO,RM,25000,OC-2024-003,5000,5,22-03-2024
ASEO,87654321-8,DIMERC S.A.,60123789-0,SENADO DE LA REPUBLICA,SERVICIOS GENERALES,METROPOLITANA,SANTIAGO,PROD005,CLORO GEL 1 LITRO,DESINFECTANTE,1 LITRO,CLOROX,METROPOLITANA DE SANTIAGO,RM,8500,OC-2024-003,850,10,22-03-2024
ASEO,87654321-8,DIMERC S.A.,60123789-0,SENADO DE LA REPUBLICA,SERVICIOS GENERALES,METROPOLITANA,SANTIAGO,PROD006,LIMPIADOR MULTIUSO 5 LTS,LIMPIADORES,5 LITROS,MR MÚSCULO,METROPOLITANA DE SANTIAGO,RM,18000,OC-2024-004,3600,5,25-03-2024
ASEO,98765432-1,MG PUBLICIDAD Y SERVICIOS GENERALES LIMITADA,60123789-0,SENADO DE LA REPUBLICA,ADMINISTRACIÓN,METROPOLITANA,SANTIAGO,PROD007,BOLSA BASURA 50X70 CM NEGRA,BOLSAS DE BASURA,50X70 CM,REYNOLDS,METROPOLITANA DE SANTIAGO,RM,15000,OC-2024-005,750,20,28-03-2024
ASEO,98765432-1,MG PUBLICIDAD Y SERVICIOS GENERALES LIMITADA,60123789-0,SENADO DE LA REPUBLICA,ADMINISTRACIÓN,METROPOLITANA,SANTIAGO,PROD008,BOLSA BASURA 80X110 CM NEGRA,BOLSAS DE BASURA,80X110 CM,REYNOLDS,METROPOLITANA DE SANTIAGO,RM,22000,OC-2024-005,1100,20,28-03-2024
ASEO,76123456-7,PRISA S.A.,60123789-0,SENADO DE LA REPUBLICA,OFICINA DE COMPRAS,METROPOLITANA,SANTIAGO,PROD009,ESCOBILLÓN WC CON BASE,IMPLEMENTOS DE ASEO,ESCOBILLÓN,VILEDA,METROPOLITANA DE SANTIAGO,RM,18000,OC-2024-006,1500,12,01-04-2024
ASEO,76123456-7,PRISA S.A.,60123789-0,SENADO DE LA REPUBLICA,OFICINA DE COMPRAS,METROPOLITANA,SANTIAGO,PROD010,PAÑO DE LIMPIEZA MICROFIBRA,PAÑOS DE LIMPIEZA,MICROFIBRA,SCOTT BRITE,METROPOLITANA DE SANTIAGO,RM,24000,OC-2024-006,800,30,01-04-2024
ASEO,87654321-8,DIMERC S.A.,60123789-0,SENADO DE LA REPUBLICA,SERVICIOS GENERALES,METROPOLITANA,SANTIAGO,PROD011,DETERGENTE LÍQUIDO 5 LTS,DETERGENTES,5 LITROS,ARIEL,METROPOLITANA DE SANTIAGO,RM,32000,OC-2024-007,6400,5,05-04-2024
ASEO,87654321-8,DIMERC S.A.,60123789-0,SENADO DE LA REPUBLICA,SERVICIOS GENERALES,METROPOLITANA,SANTIAGO,PROD012,LAVAVAJILLAS CONCENTRADO 1 LT,LAVAVAJILLAS,1 LITRO,MAGISTRAL,METROPOLITANA DE SANTIAGO,RM,9500,OC-2024-007,950,10,05-04-2024
ASEO,98765432-1,MG PUBLICIDAD Y SERVICIOS GENERALES LIMITADA,60123789-0,SENADO DE LA REPUBLICA,ADMINISTRACIÓN,METROPOLITANA,SANTIAGO,PROD013,ESPONJA DOBLE FAZ,ESPONJAS,DOBLE FAZ,SCOTCH BRITE,METROPOLITANA DE SANTIAGO,RM,6000,OC-2024-008,300,20,08-04-2024
ASEO,76123456-7,PRISA S.A.,60123789-0,SENADO DE LA REPUBLICA,OFICINA DE COMPRAS,VALPARAÍSO,VALPARAÍSO,PROD001,PAPEL HIGIÉNICO HOJA DOBLE 80 MTS,PAPEL HIGIÉNICO,HOJA DOBLE 80 MTS,ÉLITE,DE VALPARAÍSO,VAL,45000,OC-2024-009,2250,20,10-04-2024
ASEO,76123456-7,PRISA S.A.,60123789-0,SENADO DE LA REPUBLICA,OFICINA DE COMPRAS,VALPARAÍSO,VALPARAÍSO,PROD002,TOALLA PAPEL BLANCA ROLLO 80 MTS,TOALLA DE PAPEL,ROLLO 80 MTS,NOVA,DE VALPARAÍSO,VAL,33000,OC-2024-009,1650,20,10-04-2024
ASEO,87654321-8,DIMERC S.A.,60123789-0,SENADO DE LA REPUBLICA,SERVICIOS GENERALES,BIOBÍO,CONCEPCIÓN,PROD004,JABÓN LÍQUIDO ANTIBACTERIAL 5 LTS,JABÓN LÍQUIDO,5 LITROS,QUIX,DEL BIOBÍO,BIO,27000,OC-2024-010,5400,5,12-04-2024
ASEO,87654321-8,DIMERC S.A.,60123789-0,SENADO DE LA REPUBLICA,SERVICIOS GENERALES,BIOBÍO,CONCEPCIÓN,PROD005,CLORO GEL 1 LITRO,DESINFECTANTE,1 LITRO,CLOROX,DEL BIOBÍO,BIO,9000,OC-2024-010,900,10,12-04-2024
ASEO,98765432-1,MG PUBLICIDAD Y SERVICIOS GENERALES LIMITADA,60123789-0,SENADO DE LA REPUBLICA,ADMINISTRACIÓN,METROPOLITANA,SANTIAGO,PROD014,GUANTES LATEX CAJA 100 UN,GUANTES,CAJA 100 UN,KLEENGUARD,METROPOLITANA DE SANTIAGO,RM,28000,OC-2024-011,2800,10,15-04-2024
ASEO,76123456-7,PRISA S.A.,60123789-0,SENADO DE LA REPUBLICA,OFICINA DE COMPRAS,METROPOLITANA,SANTIAGO,PROD015,AMBIENTADOR SPRAY 360 ML,AMBIENTADORES,SPRAY 360 ML,GLADE,METROPOLITANA DE SANTIAGO,RM,16000,OC-2024-012,800,20,18-04-2024
ASEO,87654321-8,DIMERC S.A.,60123789-0,SENADO DE LA REPUBLICA,SERVICIOS GENERALES,METROPOLITANA,SANTIAGO,PROD016,LUSTRAMUEBLES AEROSOL 360 ML,LUSTRAMUEBLES,AEROSOL 360 ML,MR MÚSCULO,METROPOLITANA DE SANTIAGO,RM,14000,OC-2024-013,700,20,20-04-2024
ASEO,98765432-1,MG PUBLICIDAD Y SERVICIOS GENERALES LIMITADA,60123789-0,SENADO DE LA REPUBLICA,ADMINISTRACIÓN,METROPOLITANA,SANTIAGO,PROD017,PAPEL SECAMANOS ZIG-ZAG,PAPEL SECAMANOS,ZIG-ZAG,ELITE,METROPOLITANA DE SANTIAGO,RM,42000,OC-2024-014,2100,20,22-04-2024
ASEO,76123456-7,PRISA S.A.,60123789-0,SENADO DE LA REPUBLICA,OFICINA DE COMPRAS,METROPOLITANA,SANTIAGO,PROD018,DISPENSADOR PAPEL HIGIÉNICO,DISPENSADORES,PAPEL HIGIÉNICO,NOVA,METROPOLITANA DE SANTIAGO,RM,25000,OC-2024-015,2500,10,25-04-2024
ASEO,87654321-8,DIMERC S.A.,60123789-0,SENADO DE LA REPUBLICA,SERVICIOS GENERALES,METROPOLITANA,SANTIAGO,PROD019,VIRUTILLA ACERO 15 GR,VIRUTILLAS,15 GR,SCOTCH BRITE,METROPOLITANA DE SANTIAGO,RM,4500,OC-2024-016,150,30,28-04-2024
ASEO,98765432-1,MG PUBLICIDAD Y SERVICIOS GENERALES LIMITADA,60123789-0,SENADO DE LA REPUBLICA,ADMINISTRACIÓN,METROPOLITANA,SANTIAGO,PROD020,TRAPEADOR MICROFIBRA CON PALO,TRAPEADORES,MICROFIBRA,VILEDA,METROPOLITANA DE SANTIAGO,RM,36000,OC-2024-017,3000,12,30-04-2024
ASEO,76123456-7,PRISA S.A.,60123789-0,SENADO DE LA REPUBLICA,OFICINA DE COMPRAS,METROPOLITANA,SANTIAGO,PROD001,PAPEL HIGIÉNICO HOJA DOBLE 80 MTS,PAPEL HIGIÉNICO,HOJA DOBLE 80 MTS,ÉLITE,METROPOLITANA DE SANTIAGO,RM,50000,OC-2024-018,2500,20,05-05-2024
ASEO,87654321-8,DIMERC S.A.,60123789-0,SENADO DE LA REPUBLICA,SERVICIOS GENERALES,METROPOLITANA,SANTIAGO,PROD011,DETERGENTE LÍQUIDO 5 LTS,DETERGENTES,5 LITROS,ARIEL,METROPOLITANA DE SANTIAGO,RM,35000,OC-2024-019,7000,5,08-05-2024
ASEO,98765432-1,MG PUBLICIDAD Y SERVICIOS GENERALES LIMITADA,60123789-0,SENADO DE LA REPUBLICA,ADMINISTRACIÓN,ARAUCANÍA,TEMUCO,PROD007,BOLSA BASURA 50X70 CM NEGRA,BOLSAS DE BASURA,50X70 CM,REYNOLDS,DE LA ARAUCANÍA,ARA,16000,OC-2024-020,800,20,10-05-2024
ASEO,76123456-7,PRISA S.A.,60123789-0,SENADO DE LA REPUBLICA,OFICINA DE COMPRAS,METROPOLITANA,SANTIAGO,PROD021,JABÓN EN BARRA 200 GR,JABONES,BARRA 200 GR,PALMOLIVE,METROPOLITANA DE SANTIAGO,RM,12000,OC-2024-021,400,30,12-05-2024
ASEO,87654321-8,DIMERC S.A.,60123789-0,SENADO DE LA REPUBLICA,SERVICIOS GENERALES,METROPOLITANA,SANTIAGO,PROD022,DESODORANTE AMBIENTAL PASTILLA,DESODORANTES,PASTILLA,BRISE,METROPOLITANA DE SANTIAGO,RM,8000,OC-2024-022,400,20,15-05-2024
ASEO,98765432-1,MG PUBLICIDAD Y SERVICIOS GENERALES LIMITADA,60123789-0,SENADO DE LA REPUBLICA,ADMINISTRACIÓN,METROPOLITANA,SANTIAGO,PROD023,LIMPIA VIDRIOS 500 ML,LIMPIA VIDRIOS,500 ML,WINDEX,METROPOLITANA DE SANTIAGO,RM,11000,OC-2024-023,550,20,18-05-2024
